iter,loss,lr,time_ms,mfu_percent,vram_used_gb,vram_total_gb,vram_percent
52,7.304087,0.00015821,10192.70,27.50,18.250,21.964,17.54
53,7.200950,0.00016119,10200.12,27.50,18.250,21.964,17.54
54,7.232182,0.00016418,10204.25,27.49,18.250,21.964,17.54
55,7.239328,0.00016716,10201.09,27.49,18.250,21.964,17.54
56,7.219106,0.00017015,10205.53,27.49,18.250,21.964,17.54
57,7.209116,0.00017313,10226.73,27.48,18.250,21.964,17.54
58,7.333444,0.00017612,10231.39,27.47,18.250,21.964,17.54
59,7.200568,0.00017910,10239.51,27.46,18.250,21.964,17.54
60,7.064954,0.00018209,10238.90,27.46,18.250,21.964,17.54
61,7.283592,0.00018507,10234.30,27.45,18.250,21.964,17.54
62,6.985771,0.00018806,10236.82,27.44,18.250,21.964,17.54
63,6.970035,0.00019104,10217.94,27.44,18.250,21.964,17.54
64,6.907408,0.00019403,10226.29,27.44,18.250,21.964,17.54
65,6.836004,0.00019701,10214.94,27.44,18.250,21.964,17.54
66,6.874108,0.00020000,10228.42,27.44,18.250,21.964,17.54
67,7.144105,0.00020299,10230.49,27.43,18.250,21.964,17.54
68,6.886762,0.00020597,10221.73,27.43,18.250,21.964,17.54
69,6.704805,0.00020896,10241.28,27.42,18.250,21.964,17.54
70,6.822832,0.00021194,10257.09,27.42,18.250,21.964,17.54
71,6.822306,0.00021493,10264.81,27.40,18.250,21.964,17.54
72,7.136265,0.00021791,10261.31,27.40,18.250,21.964,17.54
73,6.914368,0.00022090,10273.44,27.38,18.250,21.964,17.54
74,6.782131,0.00022388,10265.71,27.38,18.250,21.964,17.54
75,6.997699,0.00022687,10258.85,27.37,18.250,21.964,17.54
76,6.676379,0.00022985,10256.21,27.37,18.250,21.964,17.54
77,6.697698,0.00023284,10256.81,27.36,18.250,21.964,17.54
78,6.873893,0.00023582,10256.76,27.36,18.250,21.964,17.54
79,6.679741,0.00023881,10264.77,27.36,18.250,21.964,17.54
80,6.777351,0.00024179,10256.70,27.35,18.250,21.964,17.54
81,6.738907,0.00024478,10248.11,27.35,18.250,21.964,17.54
82,6.667843,0.00024776,10257.75,27.35,18.250,21.964,17.54
83,6.505215,0.00025075,10256.50,27.35,18.250,21.964,17.54
84,6.696393,0.00025373,10269.74,27.34,18.250,21.964,17.54
85,6.808452,0.00025672,10281.57,27.34,18.250,21.964,17.54
86,6.701223,0.00025970,10287.92,27.33,18.250,21.964,17.54
87,6.314494,0.00026269,10292.89,27.32,18.250,21.964,17.54
88,6.688042,0.00026567,10287.50,27.31,18.250,21.964,17.54
89,6.653607,0.00026866,10289.86,27.30,18.250,21.964,17.54
90,6.364564,0.00027164,10285.06,27.30,18.250,21.964,17.54
91,6.690433,0.00027463,10279.24,27.30,18.250,21.964,17.54
